,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4104,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 16:47:01,2.0,1488.0,218.0,Não
4105,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 16:43:28,2.0,1488.0,215.0,Não
4106,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 16:35:52,2.0,1440.0,295.0,Não
4107,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 16:16:18,2.0,1488.0,213.0,Não
4108,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 16:04:07,1.0,744.0,220.0,Não
4109,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 15:21:01,1.0,744.0,222.0,Não
4110,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 15:19:13,1.0,744.0,222.0,Não
4111,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 15:18:17,2.0,1488.0,222.0,Não
4112,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 15:15:29,1.0,744.0,220.0,Não
4113,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 14:49:18,1.0,744.0,220.0,Não
4114,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 14:43:07,1.0,744.0,220.0,Não
4115,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 14:43:00,2.0,1488.0,220.0,Não
4116,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 14:42:20,2.0,1440.0,296.0,Não
4117,SE CON MEN JAN/20 - Preço Fixo,Balcão,07/11/2019 14:16:51,1.0,744.0,200.0,Não
4118,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 12:25:03,5.0,3600.0,296.0,Não
4119,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 12:02:24,5.0,3600.0,292.0,Não
4120,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 12:02:24,1.0,720.0,293.0,Não
4121,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 11:54:53,1.0,720.0,295.0,Não
4122,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 11:54:12,1.0,744.0,224.0,Não
4123,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 11:44:46,0.5,372.0,220.0,Não
4124,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 11:37:31,0.5,372.0,220.0,Não
4125,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 11:37:03,2.0,1440.0,296.0,Não
4126,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 11:36:21,1.0,744.0,220.0,Não
4127,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 11:28:24,1.0,720.0,296.0,Não
4128,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 11:21:38,2.0,1488.0,220.0,Não
4129,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 11:20:44,1.0,720.0,296.0,Não
4130,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 11:20:25,1.0,720.0,296.0,Não
4131,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 11:14:40,5.0,3600.0,296.0,Não
4132,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 11:14:12,2.0,1488.0,221.0,Não
4133,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 11:14:06,5.0,3720.0,220.0,Não
4134,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 10:58:44,1.0,744.0,217.0,Não
4135,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 10:56:52,1.0,744.0,216.0,Não
4136,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 10:46:29,3.0,2232.0,217.0,Não
4137,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 10:42:06,1.0,744.0,215.0,Não
4138,SE CON MEN NOV/19 - Preço Fixo,Boleta,07/11/2019 10:24:36,4.0,2880.0,297.0,Não
4139,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 10:17:24,1.0,744.0,217.0,Não
4140,SE CON MEN JAN/20 - Preço Fixo,Boleta,07/11/2019 10:13:26,0.4,297.6,208.0,Não
4141,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 10:07:27,3.0,2232.0,216.0,Não
4142,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 10:06:22,1.0,744.0,220.0,Não
4143,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 10:04:18,1.0,744.0,221.0,Não
4144,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 10:02:13,1.0,744.0,223.0,Não
4145,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:59:57,2.0,1488.0,223.5,Não
4146,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 09:58:21,2.0,1440.0,295.0,Não
4147,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:55:30,1.0,744.0,224.0,Não
4148,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 09:54:48,1.0,720.0,297.0,Não
4149,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:50:20,3.0,2232.0,220.0,Não
4150,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:49:59,2.0,1488.0,225.0,Não
4151,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:48:44,1.0,744.0,225.0,Não
4152,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:47:30,3.0,2232.0,225.0,Não
4153,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:45:04,1.0,744.0,224.0,Não
4154,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:44:37,1.0,744.0,223.0,Não
4155,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:44:32,1.0,744.0,225.0,Não
