,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
187,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 14:22:22,3.0,6552.0,210.0,Não
188,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 12:34:52,0.9,1965.6,210.0,Sim
189,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 12:34:52,0.1,218.4,209.5,Sim
190,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 12:32:02,0.5,1092.0,209.5,Sim
191,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 11:05:58,3.0,6552.0,209.5,Não
192,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,13/12/2019 11:03:27,20.0,43680.0,171.0,Não
193,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,13/12/2019 10:05:06,2.0,4368.0,208.0,Não
194,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,13/12/2019 09:34:53,0.5,1092.0,205.0,Não
195,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 17:26:57,1.0,2184.0,210.0,Não
196,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 13:53:59,2.0,4368.0,213.0,Não
197,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,12/12/2019 13:33:39,5.0,10920.0,180.0,Não
198,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 11:56:06,3.0,6552.0,215.0,Não
199,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 11:53:04,1.0,2184.0,213.5,Não
200,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 11:50:52,2.0,4368.0,213.5,Não
201,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,12/12/2019 10:59:18,1.0,2184.0,215.0,Não
202,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 10:37:09,1.0,2184.0,210.0,Não
203,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,12/12/2019 10:36:42,1.0,2184.0,207.0,Não
204,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,12/12/2019 09:09:04,1.0,744.0,215.0,Sim
205,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,12/12/2019 09:04:06,1.0,744.0,215.0,Sim
206,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,12/12/2019 09:03:04,1.0,744.0,215.0,Sim
207,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 18:11:48,2.0,4368.0,205.5,Não
208,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 18:06:23,2.0,4368.0,205.0,Não
209,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 18:01:14,2.0,4368.0,205.0,Não
210,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 17:59:22,1.0,2184.0,205.0,Não
211,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 17:51:52,2.0,4368.0,205.0,Não
212,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 17:12:11,2.0,4368.0,205.5,Não
213,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,11/12/2019 16:32:13,2.29,5000.0,150.0,Não
214,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 16:25:24,1.0,2184.0,205.0,Não
215,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 15:55:58,1.0,2184.0,205.0,Não
216,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 15:01:17,1.0,2184.0,208.0,Sim
217,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 14:45:19,1.3,2839.2,207.0,Não
218,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,11/12/2019 12:00:55,1.0,2184.0,206.0,Não
219,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:59:15,2.0,4368.0,205.0,Não
220,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:58:27,0.3,655.2,207.0,Não
221,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:58:12,0.7,1528.8,207.0,Não
222,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:58:12,1.0,2184.0,206.0,Não
223,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:38:25,0.1,218.4,203.0,Não
224,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,11/12/2019 11:38:10,1.9,4149.6,203.0,Não
225,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 18:08:06,1.0,2184.0,198.0,Não
226,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 17:25:06,2.0,4368.0,199.0,Não
227,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 17:23:59,4.0,8736.0,200.0,Não
228,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 17:20:52,1.0,2184.0,200.0,Não
229,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 17:20:52,1.0,2184.0,199.9,Não
230,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 17:18:44,2.0,4368.0,198.0,Não
231,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 17:18:20,1.0,2184.0,198.0,Não
232,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 17:13:15,1.0,2184.0,199.0,Não
233,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 17:02:40,2.0,4368.0,199.0,Não
234,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 16:00:29,0.8,1747.2,198.0,Não
235,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 15:59:27,0.2,436.8,198.0,Não
236,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 15:18:27,2.0,4368.0,198.0,Não
237,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 15:10:22,2.0,4368.0,196.0,Não
238,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 15:13:26,2.0,4368.0,198.99,Não
239,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 15:12:55,1.0,2184.0,198.0,Não
240,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 15:04:27,3.0,6552.0,197.0,Não
241,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,10/12/2019 14:38:40,2.0,4368.0,180.0,Não
242,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 14:25:28,1.0,2184.0,196.0,Não
243,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 14:14:37,1.5,3276.0,197.5,Não
244,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 14:09:30,1.0,2184.0,198.0,Não
245,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 11:38:30,0.6,1310.4,199.0,Não
246,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 11:33:19,1.0,2184.0,199.0,Não
247,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 10:48:48,2.0,4368.0,198.0,Não
248,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 10:21:11,0.5,1092.0,197.0,Não
249,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 10:20:58,0.5,1092.0,197.0,Não
250,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 10:20:44,1.0,2184.0,198.0,Não
251,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 09:45:19,1.0,2184.0,196.0,Não
252,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,10/12/2019 09:42:50,1.0,2184.0,195.5,Não
253,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 09:35:27,1.0,2184.0,196.0,Não
254,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,10/12/2019 09:34:10,5.0,10920.0,196.0,Não
255,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 18:01:01,2.0,4368.0,201.0,Não
256,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 17:03:41,1.7,3712.8,204.0,Não
257,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 16:59:30,1.0,2184.0,202.99,Não
258,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 16:56:01,1.0,2184.0,204.9,Não
259,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 16:51:47,1.0,2184.0,205.0,Não
260,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 16:46:33,1.7,3712.8,205.0,Não
261,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 16:46:33,0.3,655.2,204.0,Não
262,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,09/12/2019 16:42:17,5.0,10920.0,178.0,Não
263,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 16:41:40,5.0,10920.0,197.0,Não
